### MIGRATION_HEAD
20260418000000_add_adaptive_router_tables
### MIGRATION_COUNT
119
### COLUMNS -- table|column|type|nullable|default
DailyTagSpend|individual_request_tag|text|YES|
DailyTagSpend|log_count|bigint|YES|
DailyTagSpend|spend_date|date|YES|
DailyTagSpend|total_spend|double precision|YES|
Last30dKeysBySpend|api_key|text|YES|
Last30dKeysBySpend|key_alias|text|YES|
Last30dKeysBySpend|key_name|text|YES|
Last30dKeysBySpend|total_spend|double precision|YES|
Last30dModelsBySpend|model|text|YES|
Last30dModelsBySpend|total_spend|double precision|YES|
Last30dTopEndUsersSpend|end_user|text|YES|
Last30dTopEndUsersSpend|total_events|bigint|YES|
Last30dTopEndUsersSpend|total_spend|double precision|YES|
LiteLLM_AccessGroupTable|access_agent_ids|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AccessGroupTable|access_group_id|text|NO|
LiteLLM_AccessGroupTable|access_group_name|text|NO|
LiteLLM_AccessGroupTable|access_mcp_server_ids|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AccessGroupTable|access_model_names|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AccessGroupTable|assigned_key_ids|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AccessGroupTable|assigned_team_ids|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AccessGroupTable|created_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AccessGroupTable|created_by|text|YES|
LiteLLM_AccessGroupTable|description|text|YES|
LiteLLM_AccessGroupTable|updated_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AccessGroupTable|updated_by|text|YES|
LiteLLM_AdaptiveRouterSession|classified_type|text|NO|
LiteLLM_AdaptiveRouterSession|clean_credit_awarded|boolean|NO|false
LiteLLM_AdaptiveRouterSession|disengagement_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|exhaustion_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|failure_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|last_activity_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AdaptiveRouterSession|last_assistant_content|text|YES|
LiteLLM_AdaptiveRouterSession|last_processed_turn|integer|NO|'-1'::integer
LiteLLM_AdaptiveRouterSession|last_user_content|text|YES|
LiteLLM_AdaptiveRouterSession|loop_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|misalignment_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|model_name|text|NO|
LiteLLM_AdaptiveRouterSession|pending_tool_calls|jsonb|NO|'{}'::jsonb
LiteLLM_AdaptiveRouterSession|router_name|text|NO|
LiteLLM_AdaptiveRouterSession|satisfaction_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|session_id|text|NO|
LiteLLM_AdaptiveRouterSession|stagnation_count|integer|NO|0
LiteLLM_AdaptiveRouterSession|terminal_status|integer|YES|
LiteLLM_AdaptiveRouterSession|tool_call_history|jsonb|NO|'[]'::jsonb
LiteLLM_AdaptiveRouterSession|turn_count|integer|NO|0
LiteLLM_AdaptiveRouterState|alpha|double precision|NO|
LiteLLM_AdaptiveRouterState|beta|double precision|NO|
LiteLLM_AdaptiveRouterState|last_updated_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AdaptiveRouterState|model_name|text|NO|
LiteLLM_AdaptiveRouterState|request_type|text|NO|
LiteLLM_AdaptiveRouterState|router_name|text|NO|
LiteLLM_AdaptiveRouterState|total_samples|integer|NO|0
LiteLLM_AgentsTable|agent_access_groups|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AgentsTable|agent_card_params|jsonb|NO|
LiteLLM_AgentsTable|agent_id|text|NO|
LiteLLM_AgentsTable|agent_name|text|NO|
LiteLLM_AgentsTable|created_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AgentsTable|created_by|text|NO|
LiteLLM_AgentsTable|extra_headers|ARRAY|YES|ARRAY[]::text[]
LiteLLM_AgentsTable|litellm_params|jsonb|YES|
LiteLLM_AgentsTable|object_permission_id|text|YES|
LiteLLM_AgentsTable|rpm_limit|integer|YES|
LiteLLM_AgentsTable|session_rpm_limit|integer|YES|
LiteLLM_AgentsTable|session_tpm_limit|integer|YES|
LiteLLM_AgentsTable|spend|double precision|NO|0.0
LiteLLM_AgentsTable|static_headers|jsonb|YES|'{}'::jsonb
LiteLLM_AgentsTable|tpm_limit|integer|YES|
LiteLLM_AgentsTable|updated_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AgentsTable|updated_by|text|NO|
LiteLLM_AuditLog|action|text|NO|
LiteLLM_AuditLog|before_value|jsonb|YES|
LiteLLM_AuditLog|changed_by|text|NO|''::text
LiteLLM_AuditLog|changed_by_api_key|text|NO|''::text
LiteLLM_AuditLog|id|text|NO|
LiteLLM_AuditLog|object_id|text|NO|
LiteLLM_AuditLog|table_name|text|NO|
LiteLLM_AuditLog|updated_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_AuditLog|updated_values|jsonb|YES|
LiteLLM_BudgetTable|allowed_models|ARRAY|YES|ARRAY[]::text[]
LiteLLM_BudgetTable|budget_duration|text|YES|
LiteLLM_BudgetTable|budget_id|text|NO|
LiteLLM_BudgetTable|budget_reset_at|timestamp without time zone|YES|
LiteLLM_BudgetTable|created_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_BudgetTable|created_by|text|NO|
LiteLLM_BudgetTable|max_budget|double precision|YES|
LiteLLM_BudgetTable|max_parallel_requests|integer|YES|
LiteLLM_BudgetTable|model_max_budget|jsonb|YES|
LiteLLM_BudgetTable|rpm_limit|bigint|YES|
LiteLLM_BudgetTable|soft_budget|double precision|YES|
LiteLLM_BudgetTable|tpm_limit|bigint|YES|
LiteLLM_BudgetTable|updated_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_BudgetTable|updated_by|text|NO|
LiteLLM_CacheConfig|cache_settings|jsonb|NO|
LiteLLM_CacheConfig|created_at|timestamp without time zone|NO|CURRENT_TIMESTAMP
LiteLLM_CacheConfig|id|text|NO|'cache_config'::text
LiteLLM_CacheConfig|updated_at|timestamp without time zone|NO|
LiteLLM_ClaudeCodePluginTable|created_at|timestamp without time zone|YES|CURRENT_TIMESTAMP
